scientific_name,n_recordings
Parus major,3570
Phylloscopus collybita,2789
Fringilla coelebs,2756
Turdus merula,2579
Erithacus rubecula,2449
Sylvia atricapilla,2358
Troglodytes troglodytes,2109
Dendrocopos major,1695
Cyanistes caeruleus,1629
Turdus philomelos,1551
Strix aluco,1484
Passer domesticus,1432
Sitta europaea,1282
Garrulus glandarius,1273
Alauda arvensis,1166
Luscinia megarhynchos,1113
Emberiza citrinella,1111
Anthus trivialis,1111
Chloris chloris,1104
Certhia brachydactyla,999
Motacilla alba,963
Hirundo rustica,944
Carduelis carduelis,938
Regulus regulus,926
Aegithalos caudatus,842
Sturnus vulgaris,817
Pica pica,806
Corvus corone,789
Picus viridis,711
Serinus serinus,621
