id,file,species,recordist,split
28194,Aegithalos_caudatus/XC28194.mp3,Aegithalos caudatus,Patrik Åberg,train
42175,Aegithalos_caudatus/XC42175.mp3,Aegithalos caudatus,Jarek Matusiak,train
42185,Aegithalos_caudatus/XC42185.mp3,Aegithalos caudatus,Jarek Matusiak,train
42186,Aegithalos_caudatus/XC42186.mp3,Aegithalos caudatus,Jarek Matusiak,test
42190,Aegithalos_caudatus/XC42190.mp3,Aegithalos caudatus,Jarek Matusiak,val
44720,Aegithalos_caudatus/XC44720.mp3,Aegithalos caudatus,Jarek Matusiak,val
101371,Aegithalos_caudatus/XC101371.mp3,Aegithalos caudatus,Krzysztof Deoniziak,val
230133,Aegithalos_caudatus/XC230133.mp3,Aegithalos caudatus,Jarek Matusiak,train
230180,Aegithalos_caudatus/XC230180.mp3,Aegithalos caudatus,Jarek Matusiak,train
230212,Aegithalos_caudatus/XC230212.mp3,Aegithalos caudatus,Jarek Matusiak,test
281619,Aegithalos_caudatus/XC281619.mp3,Aegithalos caudatus,Peter Boesman,test
286244,Aegithalos_caudatus/XC286244.mp3,Aegithalos caudatus,Peter Boesman,train
304843,Aegithalos_caudatus/XC304843.mp3,Aegithalos caudatus,Timo Schnabel,train
337791,Aegithalos_caudatus/XC337791.mp3,Aegithalos caudatus,Manuel Grosselet,test
348046,Aegithalos_caudatus/XC348046.mp3,Aegithalos caudatus,Tero Linjama,val
383536,Aegithalos_caudatus/XC383536.mp3,Aegithalos caudatus,Timo Schnabel,val
387103,Aegithalos_caudatus/XC387103.mp3,Aegithalos caudatus,Elias A. Ryberg,train
391284,Aegithalos_caudatus/XC391284.mp3,Aegithalos caudatus,Lars Edenius,val
394132,Aegithalos_caudatus/XC394132.mp3,Aegithalos caudatus,Marco Dragonetti,train
394142,Aegithalos_caudatus/XC394142.mp3,Aegithalos caudatus,Marco Dragonetti,train
394143,Aegithalos_caudatus/XC394143.mp3,Aegithalos caudatus,Marco Dragonetti,train
394144,Aegithalos_caudatus/XC394144.mp3,Aegithalos caudatus,Marco Dragonetti,train
406841,Aegithalos_caudatus/XC406841.mp3,Aegithalos caudatus,Jarek Matusiak,train
435747,Aegithalos_caudatus/XC435747.mp3,Aegithalos caudatus,Sonnenburg,train
437777,Aegithalos_caudatus/XC437777.mp3,Aegithalos caudatus,Jarek Matusiak,train
438408,Aegithalos_caudatus/XC438408.mp3,Aegithalos caudatus,Jarek Matusiak,train
514803,Aegithalos_caudatus/XC514803.mp3,Aegithalos caudatus,Anders Westman,train
517804,Aegithalos_caudatus/XC517804.mp3,Aegithalos caudatus,Jarek Matusiak,train
523603,Aegithalos_caudatus/XC523603.mp3,Aegithalos caudatus,Jarek Matusiak,test
524302,Aegithalos_caudatus/XC524302.mp3,Aegithalos caudatus,Jarek Matusiak,train
531109,Aegithalos_caudatus/XC531109.mp3,Aegithalos caudatus,Jarek Matusiak,train
612743,Aegithalos_caudatus/XC612743.mp3,Aegithalos caudatus,Jarek Matusiak,train
612744,Aegithalos_caudatus/XC612744.mp3,Aegithalos caudatus,Jarek Matusiak,train
612746,Aegithalos_caudatus/XC612746.mp3,Aegithalos caudatus,Jarek Matusiak,train
612747,Aegithalos_caudatus/XC612747.mp3,Aegithalos caudatus,Jarek Matusiak,train
629900,Aegithalos_caudatus/XC629900.mp3,Aegithalos caudatus,Anders Westman,train
645359,Aegithalos_caudatus/XC645359.mp3,Aegithalos caudatus,Regina Eidner,val
646444,Aegithalos_caudatus/XC646444.mp3,Aegithalos caudatus,Temnothorax,train
704310,Aegithalos_caudatus/XC704310.mp3,Aegithalos caudatus,Elias A. Ryberg,train
707059,Aegithalos_caudatus/XC707059.wav,Aegithalos caudatus,Shamgar Brook,val
757104,Aegithalos_caudatus/XC757104.mp3,Aegithalos caudatus,Lars Edenius,train
879357,Aegithalos_caudatus/XC879357.mp3,Aegithalos caudatus,Jarek Matusiak,val
879358,Aegithalos_caudatus/XC879358.mp3,Aegithalos caudatus,Jarek Matusiak,train
879359,Aegithalos_caudatus/XC879359.mp3,Aegithalos caudatus,Jarek Matusiak,train
879405,Aegithalos_caudatus/XC879405.mp3,Aegithalos caudatus,Jarek Matusiak,train
909344,Aegithalos_caudatus/XC909344.mp3,Aegithalos caudatus,Jacobo Ramil Millarengo,train
934800,Aegithalos_caudatus/XC934800.mp3,Aegithalos caudatus,Thomas Bergman,train
947331,Aegithalos_caudatus/XC947331.mp3,Aegithalos caudatus,Ulf Elman,train
951568,Aegithalos_caudatus/XC951568.mp3,Aegithalos caudatus,Jarek Matusiak,train
951570,Aegithalos_caudatus/XC951570.mp3,Aegithalos caudatus,Jarek Matusiak,test
951571,Aegithalos_caudatus/XC951571.mp3,Aegithalos caudatus,Jarek Matusiak,train
951573,Aegithalos_caudatus/XC951573.mp3,Aegithalos caudatus,Jarek Matusiak,train
951574,Aegithalos_caudatus/XC951574.mp3,Aegithalos caudatus,Jarek Matusiak,val
951576,Aegithalos_caudatus/XC951576.mp3,Aegithalos caudatus,Jarek Matusiak,train
951577,Aegithalos_caudatus/XC951577.mp3,Aegithalos caudatus,Jarek Matusiak,test
956010,Aegithalos_caudatus/XC956010.mp3,Aegithalos caudatus,Jacobo Ramil Millarengo,test
964244,Aegithalos_caudatus/XC964244.wav,Aegithalos caudatus,Niclas Backstrom,train
973579,Aegithalos_caudatus/XC973579.wav,Aegithalos caudatus,Esteban Vilboux,train
980798,Aegithalos_caudatus/XC980798.mp3,Aegithalos caudatus,Lars Edenius,train
1045039,Aegithalos_caudatus/XC1045039.mp3,Aegithalos caudatus,Lars Edenius,test
1046286,Aegithalos_caudatus/XC1046286.wav,Aegithalos caudatus,Karol Łanocha,test
1046422,Aegithalos_caudatus/XC1046422.mp3,Aegithalos caudatus,Albert Lastukhin,train
1046505,Aegithalos_caudatus/XC1046505.mp3,Aegithalos caudatus,Albert Lastukhin,train
1046590,Aegithalos_caudatus/XC1046590.mp3,Aegithalos caudatus,Uku Paal,train
1046591,Aegithalos_caudatus/XC1046591.mp3,Aegithalos caudatus,Uku Paal,train
1046592,Aegithalos_caudatus/XC1046592.mp3,Aegithalos caudatus,Uku Paal,train
1046593,Aegithalos_caudatus/XC1046593.mp3,Aegithalos caudatus,Uku Paal,train
1046750,Aegithalos_caudatus/XC1046750.wav,Aegithalos caudatus,Ulf Elman,train
1046752,Aegithalos_caudatus/XC1046752.wav,Aegithalos caudatus,Karol Łanocha,train
1046754,Aegithalos_caudatus/XC1046754.wav,Aegithalos caudatus,Karol Łanocha,train
1046967,Aegithalos_caudatus/XC1046967.wav,Aegithalos caudatus,Karol Łanocha,train
1047395,Aegithalos_caudatus/XC1047395.wav,Aegithalos caudatus,Franciszek Ptak,train
1049630,Aegithalos_caudatus/XC1049630.mp3,Aegithalos caudatus,Lars Edenius,val
1049711,Aegithalos_caudatus/XC1049711.wav,Aegithalos caudatus,okarina,train
1049714,Aegithalos_caudatus/XC1049714.wav,Aegithalos caudatus,okarina,train
1051023,Aegithalos_caudatus/XC1051023.wav,Aegithalos caudatus,Karol Łanocha,train
1051386,Aegithalos_caudatus/XC1051386.wav,Aegithalos caudatus,Paul Kelly,test
1051503,Aegithalos_caudatus/XC1051503.wav,Aegithalos caudatus,Karol Łanocha,train
1051504,Aegithalos_caudatus/XC1051504.wav,Aegithalos caudatus,Karol Łanocha,test
1051871,Aegithalos_caudatus/XC1051871.wav,Aegithalos caudatus,Karol Łanocha,val
1051872,Aegithalos_caudatus/XC1051872.wav,Aegithalos caudatus,Karol Łanocha,test
1051873,Aegithalos_caudatus/XC1051873.wav,Aegithalos caudatus,Karol Łanocha,train
1052213,Aegithalos_caudatus/XC1052213.wav,Aegithalos caudatus,Paul Kelly,train
1052406,Aegithalos_caudatus/XC1052406.wav,Aegithalos caudatus,Karol Łanocha,val
1052409,Aegithalos_caudatus/XC1052409.wav,Aegithalos caudatus,Karol Łanocha,train
1052500,Aegithalos_caudatus/XC1052500.wav,Aegithalos caudatus,Denis Dujardin,train
1054444,Aegithalos_caudatus/XC1054444.wav,Aegithalos caudatus,Jorge Valella Robledo,train
1054667,Aegithalos_caudatus/XC1054667.wav,Aegithalos caudatus,Noé Ferrari,train
1058901,Aegithalos_caudatus/XC1058901.mp3,Aegithalos caudatus,Jacobo Ramil Millarengo,train
1059107,Aegithalos_caudatus/XC1059107.wav,Aegithalos caudatus,Karol Łanocha,train
1062346,Aegithalos_caudatus/XC1062346.mp3,Aegithalos caudatus,Romuald Mikusek,train
1063014,Aegithalos_caudatus/XC1063014.wav,Aegithalos caudatus,Paul Kelly,train
1063015,Aegithalos_caudatus/XC1063015.wav,Aegithalos caudatus,Paul Kelly,train
1063800,Aegithalos_caudatus/XC1063800.wav,Aegithalos caudatus,Nelson Conceição,train
1063819,Aegithalos_caudatus/XC1063819.wav,Aegithalos caudatus,Nelson Conceição,val
1063820,Aegithalos_caudatus/XC1063820.wav,Aegithalos caudatus,Nelson Conceição,train
1065083,Aegithalos_caudatus/XC1065083.wav,Aegithalos caudatus,Paul Driver,train
1065095,Aegithalos_caudatus/XC1065095.mp3,Aegithalos caudatus,Paul Driver,train
1065097,Aegithalos_caudatus/XC1065097.mp3,Aegithalos caudatus,Paul Driver,train
1067262,Aegithalos_caudatus/XC1067262.wav,Aegithalos caudatus,Laura Martin,test
1067264,Aegithalos_caudatus/XC1067264.wav,Aegithalos caudatus,Laura Martin,val
1069921,Aegithalos_caudatus/XC1069921.wav,Aegithalos caudatus,András Schmidt,train
1073133,Aegithalos_caudatus/XC1073133.wav,Aegithalos caudatus,Colm Philpott,train
1075298,Aegithalos_caudatus/XC1075298.mp3,Aegithalos caudatus,Icilio MANIACCI,train
1075763,Aegithalos_caudatus/XC1075763.mp3,Aegithalos caudatus,Marc Anderson,train
1076031,Aegithalos_caudatus/XC1076031.mp3,Aegithalos caudatus,Marc Anderson,test
1076032,Aegithalos_caudatus/XC1076032.mp3,Aegithalos caudatus,Marc Anderson,train
1078553,Aegithalos_caudatus/XC1078553.wav,Aegithalos caudatus,David Darrell-Lambert,test
1078571,Aegithalos_caudatus/XC1078571.wav,Aegithalos caudatus,David Darrell-Lambert,train
1079326,Aegithalos_caudatus/XC1079326.wav,Aegithalos caudatus,Jordi Calvet,train
1079883,Aegithalos_caudatus/XC1079883.mp3,Aegithalos caudatus,Marc Anderson,train
1080205,Aegithalos_caudatus/XC1080205.wav,Aegithalos caudatus,Paul Kelly,train
1080358,Aegithalos_caudatus/XC1080358.wav,Aegithalos caudatus,Colm Philpott,train
1082375,Aegithalos_caudatus/XC1082375.mp3,Aegithalos caudatus,Olivier SWIFT,val
1082401,Aegithalos_caudatus/XC1082401.wav,Aegithalos caudatus,David Darrell-Lambert,train
1083292,Aegithalos_caudatus/XC1083292.wav,Aegithalos caudatus,David Darrell-Lambert,train
1083870,Aegithalos_caudatus/XC1083870.wav,Aegithalos caudatus,Xavier Riera,train
1084360,Aegithalos_caudatus/XC1084360.wav,Aegithalos caudatus,David Darrell-Lambert,train
1084882,Aegithalos_caudatus/XC1084882.wav,Aegithalos caudatus,Colm Philpott,train
1086110,Aegithalos_caudatus/XC1086110.wav,Aegithalos caudatus,David Darrell-Lambert,test
1091213,Aegithalos_caudatus/XC1091213.mp3,Aegithalos caudatus,Christian Bøggild,train
1091656,Aegithalos_caudatus/XC1091656.wav,Aegithalos caudatus,Grzegorz Michalski,test
1095041,Aegithalos_caudatus/XC1095041.wav,Aegithalos caudatus,Andrew McCafferty,test
1097126,Aegithalos_caudatus/XC1097126.wav,Aegithalos caudatus,Norman Schiwora,train
1097313,Aegithalos_caudatus/XC1097313.wav,Aegithalos caudatus,Norman Schiwora,val
1099268,Aegithalos_caudatus/XC1099268.wav,Aegithalos caudatus,Colm Philpott,val
1101030,Aegithalos_caudatus/XC1101030.wav,Aegithalos caudatus,Cedric Mroczko,train
1104486,Aegithalos_caudatus/XC1104486.wav,Aegithalos caudatus,Colm Philpott,test
1105542,Aegithalos_caudatus/XC1105542.wav,Aegithalos caudatus,David Darrell-Lambert,val
1105850,Aegithalos_caudatus/XC1105850.wav,Aegithalos caudatus,Colm Philpott,train
1106251,Aegithalos_caudatus/XC1106251.wav,Aegithalos caudatus,Jordi Calvet,test
1106317,Aegithalos_caudatus/XC1106317.wav,Aegithalos caudatus,Clement Bruneau,train
1139415,Aegithalos_caudatus/XC1139415.wav,Aegithalos caudatus,Walter Wallner,train
1140336,Aegithalos_caudatus/XC1140336.wav,Aegithalos caudatus,Walter Wallner,train
1143386,Aegithalos_caudatus/XC1143386.wav,Aegithalos caudatus,Simon Gillings,train
1146873,Aegithalos_caudatus/XC1146873.mp3,Aegithalos caudatus,Joost van Bruggen,test
1147337,Aegithalos_caudatus/XC1147337.mp3,Aegithalos caudatus,Peter Boesman,val
1147338,Aegithalos_caudatus/XC1147338.mp3,Aegithalos caudatus,Peter Boesman,train
1147339,Aegithalos_caudatus/XC1147339.mp3,Aegithalos caudatus,Peter Boesman,val
1151186,Aegithalos_caudatus/XC1151186.wav,Aegithalos caudatus,Cedric Mroczko,val
1157582,Aegithalos_caudatus/XC1157582.wav,Aegithalos caudatus,Krzysztof Deoniziak,train
1161194,Aegithalos_caudatus/XC1161194.wav,Aegithalos caudatus,Clement Bruneau,train
1161198,Aegithalos_caudatus/XC1161198.wav,Aegithalos caudatus,Clement Bruneau,train
1163383,Aegithalos_caudatus/XC1163383.mp3,Aegithalos caudatus,Zsombor Károlyi,train
1165053,Aegithalos_caudatus/XC1165053.wav,Aegithalos caudatus,Zsombor Károlyi,val
1165293,Aegithalos_caudatus/XC1165293.mp3,Aegithalos caudatus,Taras Vykhovanets,train
1169690,Aegithalos_caudatus/XC1169690.wav,Aegithalos caudatus,David Darrell-Lambert,train
1173683,Aegithalos_caudatus/XC1173683.wav,Aegithalos caudatus,Colm Philpott,train
1175906,Aegithalos_caudatus/XC1175906.wav,Aegithalos caudatus,David Darrell-Lambert,train
1176967,Aegithalos_caudatus/XC1176967.wav,Aegithalos caudatus,Sam Hambly,train
27004,Alauda_arvensis/XC27004.mp3,Alauda arvensis,Patrik Åberg,test
27005,Alauda_arvensis/XC27005.mp3,Alauda arvensis,Patrik Åberg,train
43962,Alauda_arvensis/XC43962.mp3,Alauda arvensis,Jarek Matusiak,train
52383,Alauda_arvensis/XC52383.mp3,Alauda arvensis,David Marques,train
128543,Alauda_arvensis/XC128543.mp3,Alauda arvensis,Jarek Matusiak,val
128545,Alauda_arvensis/XC128545.mp3,Alauda arvensis,Jarek Matusiak,train
138227,Alauda_arvensis/XC138227.mp3,Alauda arvensis,Krzysztof Deoniziak,train
281314,Alauda_arvensis/XC281314.mp3,Alauda arvensis,Peter Boesman,train
281315,Alauda_arvensis/XC281315.mp3,Alauda arvensis,Peter Boesman,train
281316,Alauda_arvensis/XC281316.mp3,Alauda arvensis,Peter Boesman,train
281317,Alauda_arvensis/XC281317.mp3,Alauda arvensis,Peter Boesman,train
284622,Alauda_arvensis/XC284622.mp3,Alauda arvensis,Jarek Matusiak,train
307760,Alauda_arvensis/XC307760.mp3,Alauda arvensis,julien Rochefort,test
345748,Alauda_arvensis/XC345748.mp3,Alauda arvensis,Jarek Matusiak,test
374445,Alauda_arvensis/XC374445.mp3,Alauda arvensis,Mats Rellmar,train
392078,Alauda_arvensis/XC392078.mp3,Alauda arvensis,Vincent van der Spek,train
416722,Alauda_arvensis/XC416722.mp3,Alauda arvensis,Lars Edenius,train
417772,Alauda_arvensis/XC417772.mp3,Alauda arvensis,Jarek Matusiak,val
432114,Alauda_arvensis/XC432114.mp3,Alauda arvensis,Lars Edenius,train
437761,Alauda_arvensis/XC437761.mp3,Alauda arvensis,Jarek Matusiak,train
462158,Alauda_arvensis/XC462158.mp3,Alauda arvensis,Jarek Matusiak,train
475231,Alauda_arvensis/XC475231.mp3,Alauda arvensis,Lars Edenius,val
501867,Alauda_arvensis/XC501867.mp3,Alauda arvensis,Olivier SWIFT,train
509213,Alauda_arvensis/XC509213.mp3,Alauda arvensis,david m,train
